Team,Date,Tot,Day,G#,Week,,Opp,Result,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,game_id
BUF,2022-10-09,552,Sun,5,5,,PIT,W 38-3,552,54,10.22,72,5.06,2,23:52,3:10,BUF_PIT_2022-10-09
NYG,2019-12-22,552,Sun,15,16,@,WAS,W 41-35 (OT),552,69,8.00,67,5.39,0,31:57,3:36,NYG_WAS_2019-12-22
TEN,2019-12-08,552,Sun,13,14,@,OAK,W 42-21,552,59,9.36,60,5.92,1,29:12,2:58,TEN_OAK_2019-12-08
NWE,2021-10-24,551,Sun,7,7,,NYJ,W 54-13,551,74,7.45,61,4.90,0,32:12,3:10,NWE_NYJ_2021-10-24
KAN,2018-10-21,551,Sun,7,7,,CIN,W 45-10,551,70,7.87,54,4.43,1,33:43,3:04,KAN_CIN_2018-10-21
LAR,2019-12-01,549,Sun,12,13,@,ARI,W 34-7,549,76,7.22,61,3.25,0,34:37,3:01,LAR_ARI_2019-12-01
MIA,2022-09-18,547,Sun,2,2,@,BAL,W 42-38,547,69,7.93,54,8.76,2,34:47,3:20,MIA_BAL_2022-09-18
KAN,2018-11-19,546,Mon,11,11,@,LAR,L 51-54,546,69,7.91,75,6.07,5,29:37,3:42,KAN_LAR_2018-11-19
NOR,2018-11-18,546,Sun,10,11,,PHI,W 48-7,546,69,7.91,48,4.08,0,37:34,3:07,NOR_PHI_2018-11-18
TAM,2020-11-15,544,Sun,10,10,@,CAR,W 46-23,544,77,7.06,47,3.98,1,36:05,3:12,TAM_CAR_2020-11-15
KAN,2020-11-29,543,Sun,11,12,@,TAM,W 27-24,543,72,7.54,55,7.58,1,36:47,3:03,KAN_TAM_2020-11-29
TAM,2019-12-08,542,Sun,13,14,,IND,W 38-35,542,78,6.95,59,5.24,4,34:15,3:14,TAM_IND_2019-12-08
MIA,2018-10-14,541,Sun,6,6,,CHI,W 31-28 (OT),541,75,7.21,64,7.30,3,36:35,3:33,MIA_CHI_2018-10-14
LAC,2018-09-09,541,Sun,1,1,,KAN,L 28-38,541,74,7.31,55,6.58,2,34:26,3:08,LAC_KAN_2018-09-09
CIN,2020-12-27,540,Sun,15,16,@,HOU,W 37-31,540,71,7.61,51,9.57,0,36:10,3:04,CIN_HOU_2020-12-27
GNB,2018-12-23,540,Sun,15,16,@,NYJ,W 44-38 (OT),540,79,6.84,57,6.49,1,34:19,3:47,GNB_NYJ_2018-12-23
CIN,2022-10-23,537,Sun,7,7,,ATL,W 35-17,537,66,8.14,45,4.76,0,33:05,2:49,CIN_ATL_2022-10-23
BUF,2020-12-19,534,Sat,14,15,@,DEN,W 48-19,534,65,8.22,63,4.05,1,33:50,3:20,BUF_DEN_2020-12-19
NOR,2018-09-23,534,Sun,3,3,@,ATL,W 43-37 (OT),534,77,6.94,60,6.78,0,37:45,3:38,NOR_ATL_2018-09-23
LAC,2021-11-21,533,Sun,10,11,,PIT,W 41-37,533,69,7.72,65,4.62,1,31:46,3:17,LAC_PIT_2021-11-21
IND,2021-11-04,532,Thu,9,9,,NYJ,W 45-30,532,61,8.72,75,6.48,0,30:27,3:12,IND_NYJ_2021-11-04
TEN,2021-09-19,532,Sun,2,2,@,SEA,W 33-30 (OT),532,83,6.41,52,7.63,1,42:33,3:27,TEN_SEA_2021-09-19
CLE,2021-10-10,531,Sun,5,5,@,LAC,L 42-47,531,68,7.81,68,7.25,0,36:28,3:21,CLE_LAC_2021-10-10
KAN,2019-11-10,530,Sun,10,10,@,TEN,L 32-35,530,78,6.79,49,7.57,1,37:52,3:12,KAN_TEN_2019-11-10
CLE,2019-09-29,530,Sun,4,4,@,BAL,W 40-25,530,61,8.69,67,5.90,1,30:17,3:08,CLE_BAL_2019-09-29
KAN,2022-10-23,529,Sun,7,7,@,SFO,W 44-23,529,58,9.12,72,6.17,2,26:15,3:05,KAN_SFO_2022-10-23
TAM,2018-09-09,529,Sun,1,1,@,NOR,W 48-40,529,62,8.53,59,8.05,0,32:09,3:13,TAM_NOR_2018-09-09
PIT,2018-11-25,527,Sun,11,12,@,DEN,L 17-24,527,76,6.93,53,5.81,4,35:00,3:03,PIT_DEN_2018-11-25
ARI,2020-12-20,526,Sun,14,15,,PHI,W 33-26,526,68,7.74,79,5.34,3,27:47,3:27,ARI_PHI_2020-12-20
BAL,2021-01-03,525,Sun,16,17,@,CIN,W 38-3,525,73,7.19,40,4.88,1,40:31,2:55,BAL_CIN_2021-01-03
LAC,2019-12-08,525,Sun,13,14,@,JAX,W 45-10,525,58,9.05,63,4.00,0,29:23,2:57,LAC_JAX_2019-12-08
BAL,2021-10-11,523,Mon,5,5,,IND,W 31-25 (OT),523,70,7.47,63,8.14,1,33:51,3:15,BAL_IND_2021-10-11
BUF,2020-09-20,523,Sun,2,2,@,MIA,W 31-28,523,59,8.86,72,5.69,1,28:55,3:40,BUF_MIA_2020-09-20
DAL,2020-09-27,522,Sun,3,3,@,SEA,L 31-38,522,80,6.53,70,5.89,3,27:26,3:32,DAL_SEA_2020-09-27
GNB,2020-09-13,522,Sun,1,1,@,MIN,W 43-34,522,76,6.87,49,7.80,0,41:16,3:12,GNB_MIN_2020-09-13
GNB,2018-10-15,521,Mon,6,6,,SFO,W 33-30,521,70,7.44,55,7.29,0,31:08,3:10,GNB_SFO_2018-10-15
GNB,2018-10-07,521,Sun,5,5,@,DET,L 23-31,521,76,6.86,57,4.63,3,33:20,3:23,GNB_DET_2018-10-07
LAR,2018-09-23,521,Sun,3,3,,LAC,W 35-23,521,72,7.24,52,6.85,2,34:16,2:57,LAR_LAC_2018-09-23
DET,2022-10-02,520,Sun,4,4,,SEA,L 45-48,520,66,7.88,63,8.81,2,26:54,3:29,DET_SEA_2022-10-02
CIN,2021-10-24,520,Sun,7,7,@,BAL,W 41-17,520,63,8.25,71,5.54,1,28:11,3:15,CIN_BAL_2021-10-24
PHI,2021-12-21,519,Tue,14,15,,WAS,W 27-17,519,70,7.41,54,4.39,2,35:17,3:01,PHI_WAS_2021-12-21
ARI,2020-10-25,519,Sun,7,7,,SEA,W 37-34 (OT),519,81,6.41,82,6.98,2,30:13,3:52,ARI_SEA_2020-10-25
PHI,2018-12-23,519,Sun,15,16,,HOU,W 32-30,519,73,7.11,63,5.89,3,33:45,3:17,PHI_HOU_2018-12-23
MIN,2022-12-17,518,Sat,14,15,,IND,W 39-36 (OT),518,86,6.02,79,4.32,3,33:20,4:01,MIN_IND_2022-12-17
ATL,2019-12-22,518,Sun,15,16,,JAX,W 24-12,518,73,7.10,59,4.88,2,33:07,2:57,ATL_JAX_2019-12-22
LAR,2019-09-29,518,Sun,4,4,,TAM,L 40-55,518,81,6.40,73,6.36,4,27:24,3:39,LAR_TAM_2019-09-29
IND,2022-09-11,517,Sun,1,1,@,HOU,T 20-20 (OT),517,90,5.74,68,4.40,2,39:37,3:33,IND_HOU_2022-09-11
KAN,2020-09-28,517,Mon,3,3,@,BAL,W 34-20,517,73,7.08,53,4.30,1,33:56,2:58,KAN_BAL_2020-09-28
DAL,2019-12-29,517,Sun,16,17,,WAS,W 47-16,517,72,7.18,59,4.59,1,34:15,3:14,DAL_WAS_2019-12-29
KAN,2021-11-14,516,Sun,10,10,@,LVR,W 41-14,516,76,6.79,51,5.86,1,35:26,3:00,KAN_LVR_2021-11-14
SFO,2019-12-08,516,Sun,13,14,@,NOR,W 48-46,516,63,8.19,68,6.84,1,28:37,3:23,SFO_NOR_2019-12-08
DAL,2021-10-10,515,Sun,5,5,,NYG,W 44-20,515,74,6.96,64,5.73,2,32:12,3:14,DAL_NYG_2021-10-10
ARI,2019-10-06,514,Sun,5,5,@,CIN,W 26-23,514,71,7.24,62,5.97,0,31:03,3:03,ARI_CIN_2019-10-06
SEA,2019-09-22,514,Sun,3,3,,NOR,L 27-33,514,76,6.76,50,5.30,1,31:33,3:09,SEA_NOR_2019-09-22
IND,2021-10-11,513,Mon,5,5,@,BAL,L 25-31 (OT),513,63,8.14,70,7.47,1,30:45,3:15,IND_BAL_2021-10-11
DAL,2020-12-27,513,Sun,15,16,,PHI,W 37-17,513,66,7.77,71,6.72,1,30:38,3:17,DAL_PHI_2020-12-27
NYJ,2018-10-07,512,Sun,5,5,,DEN,W 34-16,512,61,8.39,72,6.06,2,28:54,3:09,NYJ_DEN_2018-10-07
NYJ,2021-10-31,511,Sun,7,8,,CIN,W 34-31,511,78,6.55,54,5.89,3,36:21,3:18,NYJ_CIN_2021-10-31
NOR,2019-10-27,510,Sun,8,8,,ARI,W 31-9,510,72,7.08,49,4.84,1,37:59,2:55,NOR_ARI_2019-10-27
ATL,2019-10-27,510,Sun,8,8,,SEA,L 20-27,510,71,7.18,55,5.85,3,30:47,3:00,ATL_SEA_2019-10-27
NOR,2019-09-09,510,Mon,1,1,,HOU,W 30-28,510,65,7.85,59,7.02,1,30:13,3:14,NOR_HOU_2019-09-09
TAM,2018-11-18,510,Sun,10,11,@,NYG,L 35-38,510,68,7.50,53,6.77,4,32:07,3:01,TAM_NYG_2018-11-18
TAM,2018-10-14,510,Sun,5,6,@,ATL,L 29-34,510,63,8.10,64,6.52,2,28:21,3:09,TAM_ATL_2018-10-14
LVR,2021-11-25,509,Thu,11,12,@,DAL,W 36-33 (OT),509,77,6.61,68,6.43,0,39:02,3:53,LVR_DAL_2021-11-25
DAL,2019-11-17,509,Sun,10,11,@,DET,W 35-27,509,71,7.17,57,5.47,1,30:54,3:14,DAL_DET_2019-11-17
NOR,2018-11-11,509,Sun,9,10,@,CIN,W 51-14,509,74,6.88,43,6.60,0,39:46,2:44,NOR_CIN_2018-11-11
MIN,2021-01-03,508,Sun,16,17,@,DET,W 37-35,508,74,6.86,54,7.72,0,35:13,3:07,MIN_DET_2021-01-03
CLE,2020-10-04,508,Sun,4,4,@,DAL,W 49-38,508,73,6.96,79,7.16,0,33:32,3:20,CLE_DAL_2020-10-04
JAX,2019-10-06,507,Sun,5,5,@,CAR,L 27-34,507,77,6.58,61,7.30,3,32:24,3:28,JAX_CAR_2019-10-06
ATL,2020-09-13,506,Sun,1,1,,SEA,L 25-38,506,77,6.57,58,6.60,2,29:24,3:07,ATL_SEA_2020-09-13
CIN,2020-10-04,505,Sun,4,4,,JAX,W 33-25,505,71,7.11,63,6.81,1,33:11,3:10,CIN_JAX_2020-10-04
DET,2023-01-01,504,Sun,16,17,,CHI,W 41-10,504,70,7.20,50,4.60,0,35:43,2:54,DET_CHI_2023-01-01
MIN,2019-10-20,504,Sun,7,7,@,DET,W 42-30,504,71,7.10,67,6.46,0,32:10,3:11,MIN_DET_2019-10-20
JAX,2022-12-18,503,Sun,14,15,,DAL,W 40-34 (OT),503,70,7.19,74,5.36,3,27:42,3:15,JAX_DAL_2022-12-18
KAN,2019-09-22,503,Sun,3,3,,BAL,W 33-28,503,63,7.98,78,5.79,0,27:16,3:12,KAN_BAL_2019-09-22
JAX,2018-09-30,503,Sun,4,4,,NYJ,W 31-12,503,74,6.80,51,3.49,3,37:35,3:12,JAX_NYJ_2018-09-30
KAN,2022-12-18,502,Sun,14,15,@,HOU,W 30-24 (OT),502,76,6.61,58,3.78,2,37:22,3:11,KAN_HOU_2022-12-18
MIA,2019-12-22,502,Sun,15,16,,CIN,W 38-35 (OT),502,88,5.70,85,5.06,1,36:24,4:00,MIA_CIN_2019-12-22
JAX,2018-10-07,502,Sun,5,5,@,KAN,L 14-30,502,83,6.05,69,6.14,5,27:17,3:24,JAX_KAN_2018-10-07
TAM,2018-11-11,501,Sun,9,10,,WAS,L 3-16,501,67,7.48,55,5.20,4,31:12,3:01,TAM_WAS_2018-11-11
LVR,2023-01-01,500,Sun,16,17,,SFO,L 34-37 (OT),500,66,7.58,62,7.32,2,32:00,3:24,LVR_SFO_2023-01-01
PHI,2022-11-27,500,Sun,11,12,,GNB,W 40-33,500,79,6.33,49,6.98,1,35:34,3:09,PHI_GNB_2022-11-27
BAL,2021-11-07,500,Sun,8,9,,MIN,W 34-31 (OT),500,89,5.62,52,6.12,2,46:04,3:32,BAL_MIN_2021-11-07
NWE,2018-10-14,500,Sun,6,6,,KAN,W 43-40,500,75,6.67,53,8.42,1,36:09,3:07,NWE_KAN_2018-10-14
KAN,2022-11-06,499,Sun,8,9,,TEN,W 20-17 (OT),499,91,5.48,48,4.77,1,41:28,3:29,KAN_TEN_2022-11-06
KAN,2021-10-17,499,Sun,6,6,@,WAS,W 31-13,499,78,6.40,58,4.76,3,33:53,3:05,KAN_WAS_2021-10-17
TAM,2019-09-22,499,Sun,3,3,,NYG,L 31-32,499,73,6.84,60,6.40,1,33:12,3:20,TAM_NYG_2019-09-22
KAN,2018-11-04,499,Sun,9,9,@,CLE,W 37-21,499,58,8.60,70,5.54,1,29:09,3:06,KAN_CLE_2018-11-04
NWE,2018-11-25,498,Sun,11,12,@,NYJ,W 27-13,498,67,7.43,62,5.45,0,34:26,2:58,NWE_NYJ_2018-11-25
BUF,2022-09-25,497,Sun,3,3,@,MIA,L 19-21,497,90,5.52,39,5.44,1,40:40,3:11,BUF_MIA_2022-09-25
SEA,2022-01-02,497,Sun,16,17,,DET,W 51-29,497,71,7.00,59,6.05,0,33:33,3:13,SEA_DET_2022-01-02
DAL,2021-12-26,497,Sun,15,16,,WAS,W 56-14,497,73,6.81,57,4.51,0,31:31,3:05,DAL_WAS_2021-12-26
LVR,2021-09-26,497,Sun,3,3,,MIA,W 31-28 (OT),497,81,6.14,78,4.23,1,38:47,3:44,LVR_MIA_2021-09-26
BAL,2019-10-13,497,Sun,6,6,,CIN,W 23-17,497,77,6.45,55,4.55,1,39:42,3:12,BAL_CIN_2019-10-13
KAN,2021-12-16,496,Thu,14,15,@,LAC,W 34-28 (OT),496,68,7.29,78,5.49,2,28:12,3:12,KAN_LAC_2021-12-16
KAN,2020-11-01,496,Sun,8,8,,NYJ,W 35-9,496,67,7.40,56,3.95,0,31:30,2:56,KAN_NYJ_2020-11-01
ARI,2020-10-11,496,Sun,5,5,@,NYJ,W 30-10,496,68,7.29,64,4.45,1,32:15,3:12,ARI_NYJ_2020-10-11
TAM,2019-12-15,495,Sun,14,15,@,DET,W 38-17,495,73,6.78,63,4.68,1,33:19,3:14,TAM_DET_2019-12-15
ATL,2018-09-30,495,Sun,4,4,,CIN,L 36-37,495,66,7.50,67,6.07,0,29:22,3:25,ATL_CIN_2018-09-30
NOR,2022-10-20,494,Thu,7,7,@,ARI,L 34-42,494,71,6.96,60,5.43,3,29:02,3:17,NOR_ARI_2022-10-20
DAL,2019-09-08,494,Sun,1,1,,NYG,W 35-17,494,62,7.97,66,7.12,0,32:18,3:03,DAL_NYG_2019-09-08
LAC,2021-10-10,493,Sun,5,5,,CLE,W 47-42,493,68,7.25,68,7.81,1,23:32,3:21,LAC_CLE_2021-10-10
CLE,2020-12-14,493,Mon,13,14,,BAL,L 42-47,493,76,6.49,57,6.75,1,31:57,3:27,CLE_BAL_2020-12-14
CLE,2018-12-23,493,Sun,15,16,,CIN,W 26-18,493,66,7.47,46,4.54,0,35:31,2:45,CLE_CIN_2018-12-23
TEN,2021-01-03,492,Sun,16,17,@,HOU,W 41-38,492,70,7.03,61,7.49,1,31:04,3:13,TEN_HOU_2021-01-03
SEA,2019-11-03,492,Sun,9,9,,TAM,W 40-34 (OT),492,68,7.24,72,5.81,1,28:13,3:29,SEA_TAM_2019-11-03
MIA,2022-11-13,491,Sun,10,10,,CLE,W 39-17,491,67,7.33,62,4.79,0,33:14,2:54,MIA_CLE_2022-11-13
LVR,2021-09-13,491,Mon,1,1,,BAL,W 33-27 (OT),491,80,6.14,67,6.06,1,34:08,3:40,LVR_BAL_2021-09-13
BAL,2019-11-17,491,Sun,10,11,,HOU,W 41-7,491,64,7.67,57,4.07,0,36:19,2:56,BAL_HOU_2019-11-17
GNB,2019-09-26,491,Thu,4,4,,PHI,L 27-34,491,74,6.64,60,5.60,2,32:21,3:27,GNB_PHI_2019-09-26
KAN,2019-09-08,491,Sun,1,1,@,JAX,W 40-26,491,60,8.18,50,8.56,0,31:15,3:04,KAN_JAX_2019-09-08
ATL,2018-11-04,491,Sun,8,9,@,WAS,W 38-14,491,64,7.67,64,5.72,1,32:56,2:57,ATL_WAS_2018-11-04
LVR,2020-10-11,490,Sun,5,5,@,KAN,W 40-32,490,67,7.31,66,6.26,1,35:18,3:27,LVR_KAN_2020-10-11
MIN,2019-10-06,490,Sun,5,5,@,NYG,W 28-10,490,64,7.66,62,3.40,1,32:40,3:03,MIN_NYG_2019-10-06
BUF,2021-11-14,489,Sun,9,10,@,NYJ,W 45-17,489,54,9.06,70,5.23,2,27:27,3:20,BUF_NYJ_2021-11-14
ATL,2018-12-30,489,Sun,16,17,@,TAM,W 34-32,489,76,6.43,56,7.73,1,34:46,3:08,ATL_TAM_2018-12-30
KAN,2022-09-11,488,Sun,1,1,@,ARI,W 44-21,488,66,7.39,63,4.48,1,34:42,3:00,KAN_ARI_2022-09-11
TAM,2021-12-12,488,Sun,13,14,,BUF,W 33-27 (OT),488,77,6.34,76,6.13,0,32:08,3:29,TAM_BUF_2021-12-12
HOU,2020-12-27,488,Sun,15,16,,CIN,L 31-37,488,51,9.57,71,7.61,1,23:50,3:04,HOU_CIN_2020-12-27
GNB,2020-09-20,488,Sun,2,2,,DET,W 42-21,488,66,7.39,58,5.29,0,34:46,3:07,GNB_DET_2020-09-20
MIN,2020-11-08,487,Sun,8,9,,DET,W 34-20,487,55,8.85,74,5.69,0,27:11,2:59,MIN_DET_2020-11-08
NOR,2018-11-04,487,Sun,8,9,,LAR,W 45-35,487,70,6.96,59,8.19,1,33:41,3:11,NOR_LAR_2018-11-04
CLE,2018-09-30,487,Sun,4,4,@,OAK,L 42-45 (OT),487,74,6.58,90,6.28,4,31:23,4:04,CLE_OAK_2018-09-30
NYJ,2022-12-04,486,Sun,12,13,@,MIN,L 22-27,486,83,5.86,66,4.35,2,31:38,3:17,NYJ_MIN_2022-12-04
BUF,2022-11-13,486,Sun,9,10,,MIN,L 30-33 (OT),486,72,6.75,79,6.09,4,33:46,3:46,BUF_MIN_2022-11-13
KAN,2022-11-13,486,Sun,9,10,,JAX,W 27-17,486,62,7.84,61,5.16,3,28:21,2:58,KAN_JAX_2022-11-13
PHI,2022-09-19,486,Mon,2,2,,MIN,W 24-7,486,68,7.15,59,4.47,1,36:14,2:48,PHI_MIN_2022-09-19
NYJ,2021-11-04,486,Thu,8,9,@,IND,L 30-45,486,75,6.48,61,8.72,2,29:33,3:12,NYJ_IND_2021-11-04
HOU,2020-10-11,486,Sun,5,5,,JAX,W 30-14,486,58,8.38,73,4.99,2,28:01,2:55,HOU_JAX_2020-10-11
KAN,2022-11-20,485,Sun,10,11,@,LAC,W 30-27,485,62,7.82,65,5.62,1,27:41,2:58,KAN_LAC_2022-11-20
NYG,2021-10-03,485,Sun,4,4,@,NOR,W 27-21 (OT),485,60,8.08,65,6.23,1,27:35,3:12,NYG_NOR_2021-10-03
TAM,2021-01-03,485,Sun,16,17,,ATL,W 44-27,485,64,7.58,71,5.42,1,26:48,3:05,TAM_ATL_2021-01-03
LAC,2020-11-01,485,Sun,7,8,@,DEN,L 30-31,485,84,5.77,59,5.95,2,35:53,3:27,LAC_DEN_2020-11-01
LAC,2020-10-25,484,Sun,6,7,,JAX,W 39-29,484,77,6.29,59,4.98,0,34:31,3:09,LAC_JAX_2020-10-25
TAM,2020-10-04,484,Sun,4,4,,LAC,W 38-31,484,73,6.63,50,6.48,1,34:55,3:09,TAM_LAC_2020-10-04
OAK,2019-10-20,484,Sun,6,7,@,GNB,L 24-42,484,62,7.81,55,8.75,2,29:36,2:59,OAK_GNB_2019-10-20
LAR,2018-11-04,483,Sun,9,9,@,NOR,L 35-45,483,59,8.19,70,6.96,1,26:19,3:11,LAR_NOR_2018-11-04
CHI,2018-09-30,483,Sun,4,4,,TAM,W 48-10,483,58,8.33,60,5.18,0,28:06,2:57,CHI_TAM_2018-09-30
MIN,2023-01-08,482,Sun,17,18,@,CHI,W 29-13,482,71,6.79,50,5.18,2,36:36,2:56,MIN_CHI_2023-01-08
MIN,2022-11-13,481,Sun,9,10,@,BUF,W 33-30 (OT),481,79,6.09,72,6.75,2,35:02,3:46,MIN_BUF_2022-11-13
GNB,2022-01-02,481,Sun,16,17,,MIN,W 37-10,481,74,6.50,52,3.96,0,38:33,3:04,GNB_MIN_2022-01-02
BUF,2021-09-26,481,Sun,3,3,,WAS,W 43-21,481,77,6.25,50,5.80,0,35:37,3:06,BUF_WAS_2021-09-26
BAL,2021-09-19,481,Sun,2,2,,KAN,W 36-35,481,68,7.07,49,8.27,2,35:59,3:02,BAL_KAN_2021-09-19
BAL,2019-12-22,481,Sun,15,16,@,CLE,W 31-15,481,71,6.77,53,4.55,1,34:19,3:05,BAL_CLE_2019-12-22
GNB,2019-10-20,481,Sun,7,7,,OAK,W 42-24,481,55,8.75,62,7.81,0,30:24,2:59,GNB_OAK_2019-10-20
PIT,2018-10-14,481,Sun,6,6,@,CIN,W 28-21,481,67,7.18,58,4.74,0,34:56,3:08,PIT_CIN_2018-10-14
JAX,2020-09-20,480,Sun,2,2,@,TEN,L 30-33,480,74,6.49,59,6.00,2,33:22,2:59,JAX_TEN_2020-09-20
BAL,2019-11-25,480,Mon,11,12,@,LAR,W 45-6,480,74,6.49,48,4.60,0,39:56,2:54,BAL_LAR_2019-11-25
JAX,2018-09-16,480,Sun,2,2,,NWE,W 31-20,480,69,6.96,61,4.95,2,30:46,3:02,JAX_NWE_2018-09-16
MIN,2018-09-16,480,Sun,2,2,@,GNB,T 29-29 (OT),480,68,7.06,70,5.01,1,31:52,3:37,MIN_GNB_2018-09-16
LAC,2020-09-20,479,Sun,2,2,,KAN,L 20-23 (OT),479,79,6.06,70,5.91,1,39:27,3:19,LAC_KAN_2020-09-20
LAC,2018-11-18,479,Sun,10,11,,DEN,L 22-23,479,72,6.65,52,6.25,2,37:49,3:10,LAC_DEN_2018-11-18
TAM,2023-01-01,478,Sun,16,17,,CAR,W 30-24,478,73,6.55,61,6.56,1,33:10,3:20,TAM_CAR_2023-01-01
CAR,2022-10-30,478,Sun,8,8,@,ATL,L 34-37 (OT),478,73,6.55,67,6.06,1,31:31,3:39,CAR_ATL_2022-10-30
LAR,2020-09-27,478,Sun,3,3,@,BUF,L 32-35,478,66,7.24,58,6.47,2,32:12,3:04,LAR_BUF_2020-09-27
IND,2018-09-30,478,Sun,4,4,,HOU,L 34-37 (OT),478,83,5.76,84,5.55,2,29:56,3:57,IND_HOU_2018-09-30
PHI,2020-12-27,477,Sun,15,16,@,DAL,L 17-37,477,71,6.72,66,7.77,3,29:22,3:17,PHI_DAL_2020-12-27
OAK,2019-12-29,477,Sun,16,17,@,DEN,L 15-16,477,70,6.81,57,4.18,1,33:00,3:22,OAK_DEN_2019-12-29
LAR,2019-10-03,477,Thu,5,5,@,SEA,L 29-30,477,67,7.12,67,6.40,2,24:42,3:27,LAR_SEA_2019-10-03
DET,2019-09-08,477,Sun,1,1,@,ARI,T 27-27 (OT),477,80,5.96,82,4.72,2,39:23,3:58,DET_ARI_2019-09-08
MIA,2022-10-30,476,Sun,8,8,@,DET,W 31-27,476,64,7.44,57,6.89,1,34:22,2:50,MIA_DET_2022-10-30
LAR,2021-10-07,476,Thu,5,5,@,SEA,W 26-17,476,67,7.10,60,5.90,1,33:03,3:05,LAR_SEA_2021-10-07
DAL,2019-09-22,476,Sun,3,3,,MIA,W 31-6,476,67,7.10,68,4.16,1,30:56,3:08,DAL_MIA_2019-09-22
CAR,2018-11-25,476,Sun,11,12,,SEA,L 27-30,476,57,8.35,61,6.51,1,29:34,3:03,CAR_SEA_2018-11-25
DAL,2022-01-08,475,Sat,17,18,@,PHI,W 51-26,475,61,7.79,70,4.50,0,27:37,3:02,DAL_PHI_2022-01-08
CIN,2022-01-02,475,Sun,16,17,,KAN,W 34-31,475,63,7.54,58,7.14,0,29:06,3:08,CIN_KAN_2022-01-02
DAL,2019-12-15,475,Sun,14,15,,LAR,W 44-21,475,68,6.99,68,4.25,0,36:06,3:14,DAL_LAR_2019-12-15
PIT,2018-09-16,475,Sun,2,2,,KAN,L 37-42,475,74,6.42,54,8.31,0,32:11,3:23,PIT_KAN_2018-09-16
NOR,2018-09-09,475,Sun,1,1,,TAM,L 40-48,475,59,8.05,62,8.53,2,27:51,3:13,NOR_TAM_2018-09-09
ARI,2021-09-19,474,Sun,2,2,,MIN,W 34-33,474,60,7.90,60,6.98,2,31:52,3:13,ARI_MIN_2021-09-19
BUF,2020-12-28,474,Mon,15,16,@,NWE,W 38-9,474,71,6.68,48,4.19,0,39:41,2:51,BUF_NWE_2020-12-28
